Unnamed: 0,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends,city,geometry,index_right,gml_id,Gemeinde_name,Gemeinde_schluessel,Land_name,Land_schluessel,Schluessel_gesamt
20142,459.4277673545966,Entire home/apt,0,0,4,0,0,1,10,99,2,0.6657669289096815,0.5002826707445281,313.2407915531272,10.33170486529779,860.3288398179881,48.35275612450112,-9.147,38.714,1,Lisbon,POINT (-9.147 38.714),,,,,,,
20143,362.5703564727955,Entire home/apt,0,0,6,0,0,1,9,96,2,0.0749877642015974,0.1462040753805635,464.4096777864142,15.31774869960858,1267.460958072687,71.23465791984925,-9.13929,38.71175,1,Lisbon,POINT (-9.13929 38.71175),,,,,,,
20144,297.3733583489681,Entire home/apt,0,0,6,0,1,0,10,97,2,0.665765963294702,0.5002902506584656,313.2493161585019,10.33198603463844,860.3260386678571,48.35259869245551,-9.147,38.714,1,Lisbon,POINT (-9.147 38.714),,,,,,,
20145,197.7016885553471,Entire home/apt,0,0,2,0,1,0,10,94,1,0.5194866742751201,0.3191839916129467,338.9046429101977,11.17818254342342,1171.854287474274,65.86131017958452,-9.14499,38.71444,1,Lisbon,POINT (-9.14499 38.71444),,,,,,,
20146,385.3189493433396,Entire home/apt,0,0,4,0,0,1,10,96,2,0.5743458215379537,0.5239972460756082,336.9932951924111,11.11514005008397,1134.465722259995,63.75997393234966,-9.146,38.711,1,Lisbon,POINT (-9.146 38.711),,,,,,,
20147,227.7204502814259,Entire home/apt,0,0,3,0,0,1,10,93,1,0.5006428688517204,0.3329741515907581,363.0233957188073,11.97369782258642,1108.122660284184,62.27942417935232,-9.145,38.714,1,Lisbon,POINT (-9.145 38.714),,,,,,,
20148,285.6472795497186,Entire home/apt,0,0,4,0,1,0,10,92,2,0.3310549713329875,0.2785885545425622,424.2203142449914,13.9921721654179,1387.682891188414,77.9914485140024,-9.14311,38.71116,1,Lisbon,POINT (-9.14311 38.71116),,,,,,,
20149,412.7579737335834,Entire home/apt,0,0,4,0,1,0,9,90,2,0.4542835775191527,0.3828937216617831,345.0212251878824,11.37992741376426,1613.235894525161,90.66812382550049,-9.1444,38.7107,1,Lisbon,POINT (-9.1444 38.7107),,,,,,,
20150,262.6641651031895,Entire home/apt,0,0,3,0,1,0,9,87,2,0.4593036375019634,0.4338091161577367,384.0940489944761,12.66867681904419,1401.015047342523,78.74075094964982,-9.14491,38.71223,1,Lisbon,POINT (-9.14491 38.71223),,,,,,,
20151,343.5741088180112,Entire home/apt,0,0,4,0,0,1,9,92,1,0.4692094168632504,0.4474831653557264,361.9121149787902,11.93704415250911,1438.116598769073,80.82595626294393,-9.14495,38.71166,1,Lisbon,POINT (-9.14495 38.71166),,,,,,,
20152,158.5365853658537,Entire home/apt,0,0,2,0,1,0,10,84,0,4.699669262849317,0.4742214005256495,74.46754326516368,2.456182910420769,160.8078390336605,9.037825844996211,-9.16664,38.74906,1,Lisbon,POINT (-9.16664 38.74906),,,,,,,
20153,418.8555347091933,Entire home/apt,0,0,6,0,1,0,9,94,4,1.77656665898733,0.3599498708815982,134.9737455092441,4.451875173252482,798.8771119420117,44.89900649541171,-9.15437,38.72346,1,Lisbon,POINT (-9.15437 38.72346),,,,,,,
20154,220.6848030018762,Entire home/apt,0,0,3,1,0,1,10,93,1,0.420761183626158,0.2526824841613987,484.5192019943895,15.9810265187847,1140.241574927003,64.08459212773408,-9.144,38.714,1,Lisbon,POINT (-9.144 38.714),,,,,,,
20155,405.9568480300188,Entire home/apt,0,0,4,0,0,0,10,100,1,2.35753494354243,0.6900970172530009,119.3832371087505,3.937649261948955,317.1198602949372,17.82297484101656,-9.158,38.728,1,Lisbon,POINT (-9.158 38.728),,,,,,,
20156,158.5365853658537,Private room,0,1,2,0,0,1,7,76,1,0.7434567060733003,0.6402550444741015,263.6744924302083,8.696846355127633,825.1695738049261,46.37671238824126,-9.148,38.711,1,Lisbon,POINT (-9.148 38.711),,,,,,,
20157,122.6547842401501,Private room,0,1,2,1,0,0,10,97,1,2.701150583971013,1.174509099582374,102.016114663675,3.364824814110153,255.2246853794493,14.34430231551446,-9.16933,38.71952,1,Lisbon,POINT (-9.16933 38.71952),,,,,,,
20158,204.7373358348968,Entire home/apt,0,0,3,0,0,1,9,95,1,1.948864961096382,0.3183415676397324,125.9151802776303,4.153094091733577,361.4366589825563,20.31369613267336,-9.1594,38.72065,1,Lisbon,POINT (-9.1594 38.72065),,,,,,,
20159,191.8386491557223,Entire home/apt,0,0,4,1,0,1,10,98,1,1.847412549907688,0.2380671004444978,129.9975979381358,4.28774556607091,378.668621120812,21.28217797851499,-9.15857,38.71992,1,Lisbon,POINT (-9.15857 38.71992),,,,,,,
20160,144.4652908067542,Private room,0,1,2,0,1,0,10,94,1,0.5173137888647785,0.3386371609959589,351.0783508360581,11.57971121018071,1090.616079498989,61.29550803926397,-9.14513,38.71415,1,Lisbon,POINT (-9.14513 38.71415),,,,,,,
20161,121.4821763602251,Private room,0,1,2,0,1,0,10,94,1,0.3799959051753017,0.202660861192742,420.2346588250791,13.86071222596003,1101.367339904263,61.89975730808683,-9.14341,38.71409,1,Lisbon,POINT (-9.14341 38.71409),,,,,,,
20162,318.2457786116323,Entire home/apt,0,0,3,0,0,1,10,84,1,0.6249502555264175,0.5693809379212492,304.1209176270193,10.03090162269939,1017.389793937707,57.17999712788176,-9.14654,38.71082,1,Lisbon,POINT (-9.14654 38.71082),,,,,,,
20163,168.6210131332082,Private room,0,1,2,1,0,1,10,96,1,0.4092754518526329,0.3512574435438638,367.9924801245081,12.13759446349294,1480.012474526821,83.18061528328477,-9.144,38.711,1,Lisbon,POINT (-9.144 38.711),,,,,,,
20165,337.7110694183865,Entire home/apt,0,0,2,0,0,1,9,83,1,0.2958702785752169,0.3061349571112376,512.2900158375363,16.8969987045077,1620.225190408317,91.06094073884692,-9.143,38.712,1,Lisbon,POINT (-9.143 38.712),,,,,,,
20166,159.7091932457786,Private room,0,1,2,0,1,0,9,84,1,0.4972112059478314,0.308249348166901,354.5720520082453,11.6949448910165,1106.051352112807,62.16301118209601,-9.14481,38.71427,1,Lisbon,POINT (-9.14481 38.71427),,,,,,,
20167,146.8105065666041,Entire home/apt,0,0,2,0,1,0,8,84,0,4.503556324173846,0.4747503413144401,79.38330847946288,2.618320910166638,169.6595354488837,9.535314593768083,-9.16665,38.747,1,Lisbon,POINT (-9.16665 38.747),,,,,,,
20168,135.0844277673546,Entire home/apt,0,0,2,0,1,0,8,83,0,4.64230929607536,0.4889059957896822,75.51931039992984,2.490873627327544,163.2785349316135,9.176685488753826,-9.16636,38.74859,1,Lisbon,POINT (-9.16636 38.74859),,,,,,,
20169,320.3564727954972,Entire home/apt,0,0,4,0,0,1,9,90,2,0.089148437434452,0.1709494574347883,506.4396845969953,16.70403566338587,1443.136942180866,81.10811284007676,-9.13861,38.71229,1,Lisbon,POINT (-9.13861 38.71229),,,,,,,
20171,81.84803001876172,Private room,0,1,2,0,1,0,10,95,1,1.64541885497596,0.099060368498601,140.3764692412769,4.630074656121036,427.7204327987684,24.03901952300042,-9.15641,38.71923,1,Lisbon,POINT (-9.15641 38.71923),,,,,,,
20172,248.827392120075,Entire home/apt,0,0,4,0,0,1,9,84,1,3.310494523771034,0.1005667403684252,100.569935464216,3.317125098510982,239.9032670356218,13.48319808376829,-9.16057,38.73729,1,Lisbon,POINT (-9.16057 38.73729),,,,,,,
20173,123.827392120075,Private room,0,1,2,0,0,1,8,78,1,0.6017076208433572,0.5298756571232905,528.2167378653079,17.42231403986582,963.1098812651392,54.12932248064901,-9.14655,38.71246,1,Lisbon,POINT (-9.14655 38.71246),,,,,,,
20174,158.3020637898687,Entire home/apt,0,0,3,0,0,1,9,87,1,2.156648468682666,0.837307879480822,118.2481285346471,3.900209672042554,329.8699874555004,18.53956570792452,-9.164,38.716,1,Lisbon,POINT (-9.164 38.716),,,,,,,
20175,262.6641651031895,Entire home/apt,0,0,4,1,0,0,10,99,1,0.3967089967783309,0.3433622599912548,375.5194336843296,12.38585798731208,1485.786033571893,83.50510457105042,-9.14389,38.71109000000001,1,Lisbon,POINT (-9.14389 38.71109000000001),,,,,,,
20176,297.3733583489681,Entire home/apt,0,0,4,0,0,1,10,94,1,0.4268591328711829,0.3573360393752166,357.6618284937819,11.79685581580385,1483.716414428194,83.38878650161658,-9.1441,38.71078,1,Lisbon,POINT (-9.1441 38.71078),,,,,,,
20177,273.921200750469,Private room,0,1,2,0,0,0,10,94,1,0.5576090249904473,0.3175178596209446,308.6404838501938,10.1799716850801,1076.617733684371,60.50876398281245,-9.14504,38.71507,1,Lisbon,POINT (-9.14504 38.71507),,,,,,,
20178,277.4390243902439,Entire home/apt,0,0,4,0,0,1,9,89,1,5.712852470359497,4.672002894028393,163.2835816961116,5.385626077205346,148.8574530762143,8.366182548792974,-9.20365,38.70079,1,Lisbon,POINT (-9.20365 38.70079),,,,,,,
20179,285.6472795497186,Entire home/apt,0,0,5,1,1,0,10,97,2,1.917602246752075,0.3788295349463892,126.5993659535389,4.175660771001317,359.4514616911353,20.2021227946095,-9.16,38.719,1,Lisbon,POINT (-9.16 38.719),,,,,,,
20180,188.3208255159474,Entire home/apt,0,0,2,0,0,1,8,75,1,0.5168562969110706,0.3701230232033051,373.508552670321,12.3195325606237,1076.930630734872,60.52634962457491,-9.14532,38.71372,1,Lisbon,POINT (-9.14532 38.71372),,,,,,,
20181,427.2983114446529,Entire home/apt,0,0,6,1,0,1,10,98,2,0.4720671743576315,0.3844752787192086,400.5559912873265,13.21164546765473,1263.475109394725,71.01064268270407,-9.145,38.713,1,Lisbon,POINT (-9.145 38.713),,,,,,,
20182,212.9455909943714,Private room,0,1,2,1,1,0,10,98,2,0.6806882264058204,0.4542065499639853,272.2359861167412,8.979232392836154,909.2684135309956,51.10328959851872,-9.14661,38.71515,1,Lisbon,POINT (-9.14661 38.71515),,,,,,,
20183,450.046904315197,Private room,0,1,2,0,1,0,9,85,1,0.4628159932650069,0.4156424132830016,349.6969904885557,11.5341494321241,1486.973289163025,83.57183147522765,-9.14472,38.71115,1,Lisbon,POINT (-9.14472 38.71115),,,,,,,
20184,285.6472795497186,Entire home/apt,0,0,5,0,0,1,9,94,2,0.7026898457601461,0.6483616196151016,282.656975957591,9.322950689888364,859.7102928258076,48.31799214765853,-9.14758,38.71123,1,Lisbon,POINT (-9.14758 38.71123),,,,,,,
20185,292.6829268292683,Entire home/apt,0,0,5,0,0,1,9,88,2,1.535831714542064,0.2003199432797912,148.8458027456556,4.909420949875303,495.0831283161478,27.82498116637618,-9.15372,38.72072,1,Lisbon,POINT (-9.15372 38.72072),,,,,,,
20186,130.6285178236398,Private room,0,1,2,0,0,1,9,90,1,0.4002635190395085,0.3697775851983487,396.0966443704169,13.06456163476998,1517.792188183661,85.30393510746869,-9.14423,38.71252,1,Lisbon,POINT (-9.14423 38.71252),,,,,,,
20188,394.6998123827392,Entire home/apt,0,0,6,0,0,1,9,95,2,0.3161875455555678,0.2863780820529075,453.9843989806156,14.97388893847754,1442.605077638059,81.07822064613951,-9.14308,38.71147,1,Lisbon,POINT (-9.14308 38.71147),,,,,,,
